key,cn,en,zh-tw
title,"管理后台","BackOffice","管理后台"
sysmgt_TEXT,"系统管理","System","系统管理"
sysmgt.admmgt,"管理员管理","Admin","管理员管理"
sysmgt.admingroup_TEXT,"组别列表","Group List","组别列表"
sysmgt.admingroup.permissions.create,"新增組別","New Group","新增組別"
sysmgt.admingroup.permissions.edit,"編輯組別權限","Edit Group","編輯組別權限"
sysmgt.admingroup.permissions.editpermission,"編輯組別權限","Edit Group Permission","編輯組別權限"
sysmgt.admingroup.permissions.disable,"停用組別","Disable Group","停用組別"
sysmgt.admingroup.permissions.enable,"啟用組別","Enable Group","啟用組別"
sysmgt.admingroup.permissions.delete,"刪除組別","Delete Group","刪除組別"
sysmgt.adminuser_TEXT,"管理员列表","Admin List","管理员列表"
sysmgt.adminuser.permissions.create,"新增管理員","New Admin","新增管理員"
sysmgt.adminuser.permissions.editpermission,"編輯管理員權限","Edit Admin Permission","編輯管理員權限"
sysmgt.adminuser.permissions.disable,"停用管理員","Disable Admin","停用管理員"
sysmgt.adminuser.permissions.enable,"啟用管理員","Enable Admin","啟用管理員"
sysmgt.adminuser.permissions.delete,"刪除管理員","Delete Admin","刪除管理員"
sysmgt.syscfg,"系统配置","System Setting","系统配置"
sysmgt.agentsetting,"代理设置","Agent Setting","代理设置"
sysmgt.agentbosetting,"代理后台","Agent Backoffice","代理后台"
sysmgt.smssetting,"短信配置","SMS Setting","短信配置"
sysmgt.emailsetting,"邮箱配置","Email Setting","邮箱配置"
sysmgt.locationwhitelist_TEXT,"地区白名单","Region White List","地区白名单"
sysmgt.locationwhitelist.permissions.create,"新增地區白名單","New Region White List","新增地區白名單"
sysmgt.locationwhitelist.permissions.edit,"編輯平台","Edit Platform","編輯平台"
sysmgt.systemVersionControl,"系统版本管理","System Version","系统版本管理"
sysmgt.commonItem.serachBtn,"搜索","Search","搜索"
sysmgt.commonItem.resetBtn,"重置","Reset","重置"
sysmgt.smsSettingItem.tableTitle,"短信服务商列表","SMS Service Provider List","短信服务商列表"
sysmgt.smsSettingItem.add,"新增","Add","新增"
sysmgt.smsSettingItem.batchDisable,"批量停用","Disable All","批量停用"
sysmgt.smsSettingItem.batchEnable,"批量启用","Enable All","批量启用"
sysmgt.smsSettingItem.batchDelete,"批量删除","Delete All","批量删除"
sysmgt.smsSettingItem.sendTestSms,"发送测试信息","Send Testing SMS","发送测试信息"
sysmgt.smsSettingItem.vendorId,"服务商编号","Service Provider ID","服务商编号"
sysmgt.smsSettingItem.vendorName,"服务商名称","Service Provider Name","服务商名称"
sysmgt.smsSettingItem.state,"状态","Status","状态"
sysmgt.smsSettingItem.platformName,"现合网名称","Opt Site","现合网名称"
sysmgt.smsSettingItem.remark,"操作备注","Remarks","操作备注"
sysmgt.smsSettingItem.operator,"操作人","Modified By","操作人"
sysmgt.smsSettingItem.time,"操作时间","Modified Time","操作时间"
sysmgt.smsSettingItem.operate,"操作","Actions","操作"
sysmgt.smsSettingItem.checkCert,"查看凭证","Proof","查看凭证"
sysmgt.smsSettingItem.certRemark,"操作备注","Remarks","操作备注"
sysmgt.smsSettingItem.uploadCert,"上传凭证","Upload Proof","上传凭证"
sysmgt.smsSettingItem.checkParameter,"查看参数","Parameter","查看参数"
sysmgt.smsSettingItem.editParameter,"编辑参数","Edit Parameter","编辑参数"
sysmgt.smsSettingItem.distributePlatform,"分配现合网","Assign Opt Site","分配现合网"
sysmgt.smsSettingItem.disable,"停用","Disable","停用"
sysmgt.smsSettingItem.delete,"删除","Delete","删除"
accountcfg_TEXT,"帐号管理","Account","帐号管理"
accountcfg.account_TEXT,"帐号管理","Account","帐号管理"
accountcfg.account.permissions.create,"新增帳號","New Account","新增帳號"
accountcfg.account.permissions.updateagent,"添加下線","Add Subordinate","添加下線"
accountcfg.account.permissions.batchdeposit,"批量人工充值","Batch Manual Deposit","批量人工充值"
accountcfg.account.permissions.batchwithdraw,"批量人工提現","Batch Manual Withdrawal","批量人工提現"
accountcfg.account.permissions.batchgiveaway,"批量贈送彩金","Batch Bonus","批量贈送彩金"
accountcfg.account.permissions.detail,"帳號詳情","Account Details","帳號詳情"
accountcfg.account.permissions.kick,"踢綫","Forced Logout","踢綫"
accountcfg.account.permissions.turnback,"一鍵轉回","Click to Revert","一鍵轉回"
accountcfg.account.permissions.updatewallet,"人工調整","Manual Adjustment","人工調整"
accountcfg.account.permissions.transfer,"人工轉帳","Manual Transfer","人工轉帳"
accountcfg.account.permissions.updategroup,"調整账号层级","Adjust Account Level","調整账号层级"
accountcfg.account.permissions.riskremark,"编辑风控备注","Edit Risk Control Remarks","编辑风控备注"
accountcfg.account.permissions.depositremark,"编辑充值备注","Edit Deposit Remarks","编辑充值备注"
accountcfg.account.permissions.withdrawremark,"编辑提现备注","Edit Withdrawal Remarks","编辑提现备注"
accountcfg.account.permissions.operateremark,"编辑运营备注","Edit Operational Remarks","编辑运营备注"
accountcfg.account.permissions.updatestatus,"编辑冻结状态","Edit Freezing Status","编辑冻结状态"
accountcfg.account.permissions.updatename,"编辑绑定姓名","Edit Registered Name","编辑绑定姓名"
accountcfg.account.permissions.deletephone,"删除手机","Delete Mobile No.","删除手机"
accountcfg.account.permissions.deleteemail,"删除邮箱","Delete Email","删除邮箱"
accountcfg.account.permissions.deletebank,"删除银行卡","Delete Bank Card No.","删除银行卡"
accountcfg.account.permissions.deleteaddress,"删除钱包地址","Delete Wallet Address","删除钱包地址"
accountcfg.accountgroupcfg_TEXT,"帐号层级配置","Account Level Setting","帐号层级配置"
accountcfg.accountgroupcfg.permissions.create,"新增帳號層級","Add Account Level","新增帳號層級"
accountcfg.accountgroupcfg.permissions.batchedit,"批量編輯","Batch Edit","批量編輯"
accountcfg.accountgroupcfg.permissions.readaccount,"查看帳號","View Account","查看帳號"
accountcfg.accountgroupcfg.permissions.readfreeze,"查看凍結","View Freeze","查看凍結"
accountcfg.accountgroupcfg.permissions.readhistory,"查看編輯日誌","View Edit Log","查看編輯日誌"
accountcfg.accountvipcfg,"VIP管理","VIP Management","VIP管理"
accountcfg.accountvipcfg_accountvip_TEXT,"VIP等级配置","VIP Level Setting","VIP等级配置"
accountcfg.accountvipcfg_accountvip.permissions.create,"新增VIP等級","New VIP Level","新增VIP等級"
accountcfg.accountvipcfg_accountvip.permissions.batchedit,"批量編輯","Batch Edit","批量編輯"
accountcfg.accountvipcfg_accountvip.permissions.list,"查看等級配置","View Level Setting","查看等級配置"
accountcfg.accountvipcfg_accountvip.permissions.readhistory,"查看編輯日誌","View Edit Log","查看編輯日誌"
accountcfg.accountvipcfg_accountvipprofit_TEXT,"VIP福利发放列表","VIP Benefit List","VIP福利发放列表"
accountcfg.accountvipcfg_accountvipprofit_vip,"依等級","By Level","依等級"
accountcfg.accountvipcfg_accountvipprofit_account,"依帳號","By Account","依帳號"
accountcfg.memberlevelattendance,"VIP签到列表","VIP Sign-in List","VIP签到列表"
accountcfg.memberManagementItem.platformName,"平台名称","Opt Site","平台名称"
accountcfg.memberManagementItem.onlineStatus,"在线状态","Online Status","在线状态"
accountcfg.memberManagementItem.accountCode,"账号编号","Account Number","账号编号"
accountcfg.memberManagementItem.accountName,"登录账号","Login Account","登录账号"
accountcfg.memberManagementItem.vipLevel,"VIP等级","VIP Level","VIP等级"
accountcfg.memberManagementItem.accountLevel,"账号层级","Account Level","账号层级"
accountcfg.memberManagementItem.accountType,"账号类型","Account Type","账号类型"
accountcfg.memberManagementItem.firstLevelAgent,"一级代理","Primary Level Agent","一级代理"
accountcfg.memberManagementItem.superiorAgent,"上级代理","Superior Agent","上级代理"
accountcfg.memberManagementItem.accountBalance,"账户余额","Account Balance","账户余额"
accountcfg.memberManagementItem.registerDateTime,"注册时间","Registration Time","注册时间"
accountcfg.memberManagementItem.registerDate,"注册日期","Registration Date","注册日期"
accountcfg.memberManagementItem.lastOnlineDateTime,"最后登录时间","Last Registration Time","最后登录时间"
accountcfg.memberManagementItem.lastOnlineDate,"最后登录日期","Last Registration Date","最后登录日期"
accountcfg.memberManagementItem.action,"操作","Actions","操作"
accountcfg.memberManagementItem.detail,"详情","Details","详情"
accountcfg.memberManagementItem.search,"搜索","Search","搜索"
accountcfg.memberManagementItem.reset,"重置","Reset","重置"
accountcfg.memberManagementItem.add,"新增","Add","新增"
accountcfg.memberManagementItem.addLowLevel,"添加下级","Add Subordinate","添加下级"
accountcfg.memberManagementItem.batchManualCharge,"批量人工充值","Batch Manual Deposit","批量人工充值"
accountcfg.memberManagementItem.batchManualWithdrawal,"批量人工提现","Batch Manual Withdrawal","批量人工提现"
accountcfg.memberManagementItem.batchReward,"批量赠送彩金","Batch Bonus","批量赠送彩金"
accountcfg.memberManagementItem.export,"导出","Export","导出"
accountcfg.memberManagementItem.memberList,"会员列表","Member List","会员列表"
accountcfg.memberManagementItem.agentPlaceholder,"请输入代理帐号","Please enter the Agent Account.","请输入代理帐号"
gamemgt_TEXT,"游戏管理","Game","游戏管理"
gamemgt.game_TEXT,"游戏分类","Game Category","游戏分类"
gamemgt.game_sports_TEXT,"体育","Sports","体育"
gamemgt.game_live_TEXT,"真人","Live","真人"
gamemgt.game_lottery_TEXT,"彩票","Lottery","彩票"
gamemgt.game_chess_TEXT,"棋牌","Arcade","棋牌"
gamemgt.game_electric_TEXT,"电子","Slot","电子"
gamemgt.game_fish_TEXT,"捕鱼","Fish","捕鱼"
opermgt_TEXT,"运营管理","Operation","运营管理"
nanomgt_TEXT,"纳米数据管理","Nano Data Management","纳米数据管理"
depmgt_TEXT,"出入款管理","Deposit & Withdrawal Management","出入款管理"
report_TEXT,"报表管理","Report","报表管理"
report.platformsummary,"数据统计","Statistics","数据统计"
report.gamereport,"游戏报表","Game Report","游戏报表"
report.gamereport_category,"游戏大类报表","Game Category Report","游戏大类报表"
report.gamereport_gamevendor,"游戏平台报表","Game Platform Report","游戏平台报表"
